PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
"Vania
G2.G","harbor, omen, gekko",258,1.48,249.5,1.84,83%,156.8,0.91,0.44,0.06,0.04,42%,31%,5/16,25,234,127,114,15,9
"Lied
FSX","iso, raze, jett",291,1.40,285.9,1.56,73%,186.0,1.05,0.24,0.22,0.15,29%,15%,4/26,30,307,197,71,65,45
"Miku
NCL.GC","neon, raze, jett",232,1.35,303.5,1.49,75%,182.5,1.04,0.26,0.31,0.20,19%,45%,5/11,32,241,162,61,71,47
"tok1o
LEV.GC","neon, jett, sova",315,1.33,274.1,1.46,76%,179.2,0.97,0.25,0.15,0.13,25%,31%,10/32,28,306,210,78,46,40
"conir
KRÜ.B","omen, clove, brimstone",251,1.32,233.3,1.48,86%,149.1,0.88,0.45,0.09,0.05,27%,22%,5/23,24,220,149,114,23,13
"Derke
FNC","raze, yoru",211,1.30,275.6,1.42,76%,180.6,0.99,0.18,0.19,0.15,25%,33%,6/18,30,208,146,39,40,31
"Chronicle
FNC","sova, viper",211,1.29,236.1,1.31,75%,162.9,0.82,0.30,0.13,0.06,28%,12%,3/26,25,172,131,64,27,13
"Zanatsu
RED","killjoy, raze, jett",237,1.29,288.7,1.44,76%,183.9,1.04,0.16,0.24,0.16,34%,8%,1/12,36,247,171,37,56,39
"Liz
NTH","sova, omen, skye",259,1.27,250.3,1.33,75%,174.4,0.86,0.29,0.14,0.06,36%,13%,4/32,33,224,168,74,35,15
"Asomy
NCL.GC","omen, gekko",232,1.27,234.1,1.38,77%,144.2,0.85,0.45,0.06,0.04,27%,14%,4/28,28,198,144,105,14,10
"Persia
SPG","brimstone, viper, clove",282,1.26,226.3,1.30,77%,151.3,0.79,0.46,0.09,0.10,35%,26%,9/35,23,223,171,129,25,28
"nabil
RESO","kayo, sova, viper",259,1.26,241.8,1.26,80%,158.8,0.85,0.43,0.10,0.08,24%,11%,4/38,28,220,174,112,25,21
Needy,"jett, neon, raze",265,1.24,264.0,1.34,75%,172.7,0.93,0.13,0.15,0.17,33%,16%,4/25,28,246,184,34,40,44
"kaajak
APK","raze, jett, yoru",428,1.24,274.2,1.36,69%,175.1,0.98,0.17,0.25,0.19,40%,5%,1/21,33,419,308,71,109,80
